authorName;bookTitle;links;avg_rating;ratings;published;edition;rank
Baseball Prospectus;Baseball Prospectus 2005: Statistics, Analysis, and Insight for the Information Age;https://www.goodreads.com/book/show/8690.Baseball_Prospectus_2005;4,21;76;2005;1;297
Paul Newbold;Statistics for Business and Economics: Student Solutions Manual;https://www.goodreads.com/book/show/2403633.Statistics_for_Business_and_Economics;4,64;14;2006;1;298
Lee J. Bain;Introduction to Probability and Mathematical Statistics;https://www.goodreads.com/book/show/5228164-introduction-to-probability-and-mathematical-statistics;4,42;12;1991;1;299
Ronald E. Walpole;Solutions Manual to Accompany Probability and Statistics for Engineers & Scientists;https://www.goodreads.com/book/show/245953.Solutions_Manual_to_Accompany_Probability_and_Statistics_for_Engineers_Scientists;4,05;20;1993;1;300
Michael Sullivan III;Statistics: Informed Decisions Using Data;https://www.goodreads.com/book/show/845435.Statistics;3,21;112;2003;56;301
Michael A. Wheeler;Lies, Damn Lies, And Statistics: The Manipulation Of Public Opinion In America;https://www.goodreads.com/book/show/51292.Lies_Damn_Lies_And_Statistics;4,27;22;1976;3;302
Howard B. Bandy;Modeling Trading System Performance: Monte Carlo Simulation, Position Sizing, Risk Management, and Statistics;https://www.goodreads.com/book/show/26061257-modeling-trading-system-performance;3,86;21;2011;1;303
Thomas A. Severini;Analytic Methods in Sports: Using Mathematics and Statistics to Understand Data from Baseball, Football, Basketball, and Other Sports;https://www.goodreads.com/book/show/20917907-analytic-methods-in-sports;3,68;19;2014;9;304
Vijay K. Rohatgi;An Introduction to Probability and Statistics;https://www.goodreads.com/book/show/6529036-an-introduction-to-probability-and-statistics;4,07;30;2000;9;305
Allen L. Webster;Applied Statistics for Business and Economics;https://www.goodreads.com/book/show/11231262-applied-statistics-for-business-and-economics;4,92;12;1994;9;307
M. Harris;Medical Statistics Made Easy;https://www.goodreads.com/book/show/3804827-medical-statistics-made-easy;3,92;76;2003;13;308
Jim Albert;Curveball: Baseball, Statistics, and the Role of Chance in the Game;https://www.goodreads.com/book/show/1173273.Curveball;3,92;80;2001;7;310
Solomon Kullback;Information Theory and Statistics;https://www.goodreads.com/book/show/3352400-information-theory-and-statistics;3,95;19;1997;4;311
Helmut F. van Emden;Statistics for Terrified Biologists;https://www.goodreads.com/book/show/6225226-statistics-for-terrified-biologists;4,08;24;2008;11;312
W. Michael Kelley;The Humongous Book of Statistics Problems;https://www.goodreads.com/book/show/6503419-the-humongous-book-of-statistics-problems;3,97;35;2009;6;313
John Thorn;The Hidden Game of Baseball: A Revolutionary Approach to Baseball and Its Statistics;https://www.goodreads.com/book/show/22859705-the-hidden-game-of-baseball;4,19;201;1984;4;314
Martin Bland;An Introduction to Medical Statistics;https://www.goodreads.com/book/show/1080540.An_Introduction_to_Medical_Statistics;4,32;31;1987;7;316
P.C. Tulsian;Tulsian’s Business mathematics, Logical Reasoning and Statistics for CA Foundation;https://www.goodreads.com/book/show/49526723-tulsian-s-business-mathematics-logical-reasoning-and-statistics-for-ca;4,27;11;NA;1;317
Thomas H. Wonnacott;Introductory Statistics for Business and Economics;https://www.goodreads.com/book/show/1040413.Introductory_Statistics_for_Business_and_Economics;3,87;15;1972;10;318
Alan Anderson;Business Statistics for Dummies;https://www.goodreads.com/book/show/17395911-business-statistics-for-dummies;3,79;34;2013;5;319
David Franklin;Invisible Learning: The magic behind Dan Levy's legendary Harvard statistics course;https://www.goodreads.com/book/show/56124593-invisible-learning;4,27;11;NA;1;320
G.M. Clarke;A Basic Course in Statistics;https://www.goodreads.com/book/show/3842219-a-basic-course-in-statistics;3,78;27;1900;7;321
Morris H. DeGroot;Student Solutions Manual for Probability and Statistics;https://www.goodreads.com/book/show/10049099-student-solutions-manual-for-probability-and-statistics;3,94;17;2002;5;322
Lorenzo Fioramonti;How Numbers Rule the World: The Use and Abuse of Statistics in Global Politics;https://www.goodreads.com/book/show/18690304-how-numbers-rule-the-world;3,57;28;2014;5;323
Peter J. Brockwell;Introduction to Time Series and Forecasting;https://www.goodreads.com/book/show/950371.Introduction_to_Time_Series_and_Forecasting;3,44;36;1996;9;324
Brian C. Cronk;How to Use SPSS Statistics: A Step-By-Step Guide to Analysis and Interpretation;https://www.goodreads.com/book/show/15902840-how-to-use-spss-statistics;3,68;38;2012;3;327
S. Deviant;This is the Statistics Handbook Your Professor Doesn't Want You to See;https://www.goodreads.com/book/show/18933733-this-is-the-statistics-handbook-your-professor-doesn-t-want-you-to-see;3,42;40;2011;4;328
